"";"id";"eng";"fra";"esp";"lang1";"lang2"
"1";"english";"English";NA;NA;"Angol";NA
"2";"french";"French";NA;NA;"Francia";NA
"3";"spanish";"Spanish";NA;NA;"Spanyol";NA
"4";"language1";"Hungarian";NA;NA;"Magyar";NA
"5";"language2";"";NA;NA;"";NA
"6";"sorting";"Sort countries";NA;NA;"Sorbarendezés";NA
"7";"stacked";"Stack documents";NA;NA;"Részletezés";NA
"8";"dnparticipate";"Did not participate";NA;NA;"Nem vett részt";NA
"9";"ebp";"Executive's Budget Proposal";NA;NA;"Költségvetési javaslat";NA
"10";"eb";"Enacted Budget";NA;NA;"Elfogadott költségvetés";NA
"11";"ar";"Audit Report";NA;NA;"Számvevőszéki jelentés";NA
"12";"cb";"Citizens' Budget";NA;NA;"Polgárok költségvetése";NA
"13";"iyr";"In-Year Report";NA;NA;"Évközi jelentés";NA
"14";"myr";"Mid-Year Review";NA;NA;"Féléves jelentés";NA
"15";"pbs";"Pre-Budget Statement";NA;NA;"Költségvetési irányelvek";NA
"16";"yer";"Year-End Review";NA;NA;"Éves jelentés";NA
"17";"Afghanistan";"Afghanistan";NA;NA;"Afganisztán";NA
"18";"Albania";"Albania";NA;NA;"Albánia";NA
"19";"Algeria";"Algeria";NA;NA;"Algéria";NA
"20";"Angola";"Angola";NA;NA;"Angola";NA
"21";"Argentina";"Argentina";NA;NA;"Argentína";NA
"22";"Azerbaijan";"Azerbaijan";NA;NA;"Azerbajdzsán";NA
"23";"Bangladesh";"Bangladesh";NA;NA;"Banglades";NA
"24";"Benin";"Benin";NA;NA;"Benin";NA
"25";"Bolivia";"Bolivia";NA;NA;"Bolívia";NA
"26";"Bosnia and Herzegovina";"Bosnia and Herzegovina";NA;NA;"Bosznia és Hercegovina";NA
"27";"Botswana";"Botswana";NA;NA;"Botswana";NA
"28";"Brazil";"Brazil";NA;NA;"Brazília";NA
"29";"Bulgaria";"Bulgaria";NA;NA;"Bulgária";NA
"30";"Burkina Faso";"Burkina Faso";NA;NA;"Burkina Faso";NA
"31";"Cambodia";"Cambodia";NA;NA;"Kambodzsa";NA
"32";"Cameroon";"Cameroon";NA;NA;"Kamerun";NA
"33";"Chad";"Chad";NA;NA;"Csád";NA
"34";"Chile";"Chile";NA;NA;"Chile";NA
"35";"China";"China";NA;NA;"Kína";NA
"36";"Colombia";"Colombia";NA;NA;"Kolumbia";NA
"37";"Costa Rica";"Costa Rica";NA;NA;"Costa Rica";NA
"38";"Croatia";"Croatia";NA;NA;"Horvátország";NA
"39";"Czech Republic";"Czech Republic";NA;NA;"Csehország";NA
"40";"Dem. Rep. of Congo";"Dem. Rep. of Congo";NA;NA;"Dem. Rep. of Congo";NA
"41";"Dominican Republic";"Dominican Republic";NA;NA;"Dominican Republic";NA
"42";"Ecuador";"Ecuador";NA;NA;"Ecuador";NA
"43";"Egypt";"Egypt";NA;NA;"Egyiptom";NA
"44";"El Salvador";"El Salvador";NA;NA;"El Salvador";NA
"45";"Equatorial Guinea";"Equatorial Guinea";NA;NA;"Egyenlítői Guniea";NA
"46";"Fiji";"Fiji";NA;NA;"Fiji";NA
"47";"France";"France";NA;NA;"Franciaország";NA
"48";"Georgia";"Georgia";NA;NA;"Georgia";NA
"49";"Germany";"Germany";NA;NA;"Németország";NA
"50";"Ghana";"Ghana";NA;NA;"Ghána";NA
"51";"Guatemala";"Guatemala";NA;NA;"Guatemala";NA
"52";"Honduras";"Honduras";NA;NA;"Honduras";NA
"53";"Hungary";"Hungary";NA;NA;"Magyarország";NA
"54";"India";"India";NA;NA;"India";NA
"55";"Indonesia";"Indonesia";NA;NA;"Indonézia";NA
"56";"Iraq";"Iraq";NA;NA;"Irak";NA
"57";"Italy";"Italy";NA;NA;"Olaszország";NA
"58";"Jordan";"Jordan";NA;NA;"Jordan";NA
"59";"Kazakhstan";"Kazakhstan";NA;NA;"Kazakhstan";NA
"60";"Kenya";"Kenya";NA;NA;"Kenya";NA
"61";"Kyrgyz Republic";"Kyrgyz Republic";NA;NA;"Kyrgyz Republic";NA
"62";"Lebanon";"Lebanon";NA;NA;"Lebanon";NA
"63";"Liberia";"Liberia";NA;NA;"Liberia";NA
"64";"Macedonia";"Macedonia";NA;NA;"Macedonia";NA
"65";"Malawi";"Malawi";NA;NA;"Malawi";NA
"66";"Malaysia";"Malaysia";NA;NA;"Malaysia";NA
"67";"Mali";"Mali";NA;NA;"Mali";NA
"68";"Mexico";"Mexico";NA;NA;"Mexico";NA
"69";"Mongolia";"Mongolia";NA;NA;"Mongolia";NA
"70";"Morocco";"Morocco";NA;NA;"Morocco";NA
"71";"Mozambique";"Mozambique";NA;NA;"Mozambique";NA
"72";"Myanmar";"Myanmar";NA;NA;"Myanmar";NA
"73";"Namibia";"Namibia";NA;NA;"Namibia";NA
"74";"Nepal";"Nepal";NA;NA;"Nepal";NA
"75";"New Zealand";"New Zealand";NA;NA;"New Zealand";NA
"76";"Nicaragua";"Nicaragua";NA;NA;"Nicaragua";NA
"77";"Niger";"Niger";NA;NA;"Niger";NA
"78";"Nigeria";"Nigeria";NA;NA;"Nigeria";NA
"79";"Norway";"Norway";NA;NA;"Norway";NA
"80";"Pakistan";"Pakistan";NA;NA;"Pakistan";NA
"81";"Papua New Guinea";"Papua New Guinea";NA;NA;"Papua New Guinea";NA
"82";"Peru";"Peru";NA;NA;"Peru";NA
"83";"Philippines";"Philippines";NA;NA;"Philippines";NA
"84";"Poland";"Poland";NA;NA;"Poland";NA
"85";"Portugal";"Portugal";NA;NA;"Portugal";NA
"86";"Qatar";"Qatar";NA;NA;"Qatar";NA
"87";"Romania";"Romania";NA;NA;"Romania";NA
"88";"Russia";"Russia";NA;NA;"Russia";NA
"89";"Rwanda";"Rwanda";NA;NA;"Rwanda";NA
"90";"São Tomé and Príncipe";"São Tomé and Príncipe";NA;NA;"São Tomé és Príncipe";NA
"91";"Saudi Arabia";"Saudi Arabia";NA;NA;"Saudi Arabia";NA
"92";"Senegal";"Senegal";NA;NA;"Senegal";NA
"93";"Serbia";"Serbia";NA;NA;"Serbia";NA
"94";"Sierra Leone";"Sierra Leone";NA;NA;"Sierra Leone";NA
"95";"Slovakia";"Slovakia";NA;NA;"Slovakia";NA
"96";"Slovenia";"Slovenia";NA;NA;"Slovenia";NA
"97";"South Africa";"South Africa";NA;NA;"South Africa";NA
"98";"South Korea";"South Korea";NA;NA;"South Korea";NA
"99";"Spain";"Spain";NA;NA;"Spain";NA
"100";"Sri Lanka";"Sri Lanka";NA;NA;"Sri Lanka";NA
"101";"Sudan";"Sudan";NA;NA;"Sudan";NA
"102";"Sweden";"Sweden";NA;NA;"Sweden";NA
"103";"Tajikistan";"Tajikistan";NA;NA;"Tajikistan";NA
"104";"Tanzania";"Tanzania";NA;NA;"Tanzania";NA
"105";"Thailand";"Thailand";NA;NA;"Thailand";NA
"106";"Timor-Leste";"Timor-Leste";NA;NA;"Timor-Leste";NA
"107";"Trinidad and Tobago";"Trinidad and Tobago";NA;NA;"Trinidad and Tobago";NA
"108";"Tunisia";"Tunisia";NA;NA;"Tunisia";NA
"109";"Turkey";"Turkey";NA;NA;"Turkey";NA
"110";"Uganda";"Uganda";NA;NA;"Uganda";NA
"111";"Ukraine";"Ukraine";NA;NA;"Ukraine";NA
"112";"United Kingdom";"United Kingdom";NA;NA;"United Kingdom";NA
"113";"United States";"United States";NA;NA;"United States";NA
"114";"Venezuela";"Venezuela";NA;NA;"Venezuela";NA
"115";"Vietnam";"Vietnam";NA;NA;"Vietnam";NA
"116";"Yemen";"Yemen";NA;NA;"Yemen";NA
"117";"Zambia";"Zambia";NA;NA;"Zambia";NA
"118";"Zimbabwe";"Zimbabwe";NA;NA;"Zimbabwe";NA
